account_number,balance,transaction_date,transaction_amount,transaction_type,branch_location,customer_id,account_type,interest_rate,last_updated
30238269315024,Euro,1/26/2021,9829.74,transfer,PO Box 3270,1,savings,3.23,2/8/2021
67094051342884672,Peso,7/23/2021,9723.39,transfer,Room 914,2,savings,6.5,3/6/2021
5100148703729645,Dollar,6/6/2021,6931.14,deposit,Suite 85,3,checking,3.21,9/17/2021
3545857675861040,Dollar,7/4/2021,3501.34,withdrawal,8th Floor,4,investment,9.55,10/30/2021
4041596381012,Dollar,6/9/2021,6957.87,withdrawal,Room 545,5,investment,4.25,8/27/2021
5585686580638490,Ruble,5/26/2021,7055.23,transfer,Apt 788,6,savings,6.03,9/22/2021
374283106707649,Euro,7/11/2021,8068.19,deposit,10th Floor,7,savings,5.71,1/14/2021
3554447118885315,Euro,7/9/2021,7920.42,transfer,13th Floor,8,investment,3.15,5/17/2021
6331103918531798,Ruble,11/9/2021,5565.5,transfer,Room 1219,9,investment,0.09,12/23/2021
3549103818997797,Real,5/27/2021,8302.71,deposit,4th Floor,10,investment,3.91,12/3/2021
676721446766021968,Pound,1/10/2021,4345.47,transfer,Room 761,11,investment,2.78,11/9/2021
560225604534861431,Ruble,9/15/2021,1622.94,withdrawal,PO Box 38833,12,savings,6.31,8/26/2021
3544883136272297,Yuan Renminbi,9/1/2021,6941.6,transfer,11th Floor,13,checking,7.08,11/17/2021
3534748307130560,Yuan Renminbi,11/27/2021,921.36,deposit,19th Floor,14,investment,5.19,4/15/2021
372301718626353,Peso,10/12/2021,7004.45,transfer,PO Box 41069,15,investment,7.21,9/22/2021
5007666942046442,Krona,10/6/2021,4429.79,withdrawal,PO Box 78528,16,savings,9.78,7/25/2021
3538282866987877,Yuan Renminbi,3/12/2021,7378.49,withdrawal,PO Box 58088,17,checking,1.43,3/17/2021
675965852530403316,Real,6/2/2021,4162.36,deposit,PO Box 37165,18,checking,0.08,11/4/2021
3529795954292588,Yuan Renminbi,2/21/2021,6951.96,transfer,Apt 642,19,checking,8.78,3/28/2021
5602256127694122,Dollar,12/23/2021,705.89,withdrawal,3rd Floor,20,investment,0.4,1/5/2021
5100131667278213,Peso,2/14/2021,1886.63,withdrawal,Room 1653,21,savings,2.69,8/7/2021
3544366319408342,Koruna,9/9/2021,6397.22,transfer,Suite 97,22,savings,0.37,12/30/2021
6334376602397539,Yuan Renminbi,6/10/2021,7475.18,transfer,PO Box 48769,23,investment,7.25,11/6/2021
3551784085196026,Somoni,3/16/2021,381.8,transfer,Suite 11,24,savings,2.2,8/19/2021
4913558657701657,Ruble,7/1/2021,381.05,deposit,Apt 1100,25,checking,7.39,8/22/2021
3533423636851341,Dalasi,2/3/2021,5959.29,withdrawal,1st Floor,26,investment,6.61,1/8/2021
3557211757862564,Pound,4/4/2021,8242.96,withdrawal,Apt 81,27,checking,7.91,4/10/2021
3578137484270356,Kuna,4/30/2021,8989.19,withdrawal,PO Box 41622,28,checking,5.4,8/12/2021
3575814524808279,Zloty,12/10/2021,5112.89,deposit,PO Box 91496,29,checking,9.8,11/28/2021
5553125999133478,Taka,8/13/2021,3836.04,withdrawal,Apt 1487,30,checking,8.14,4/14/2021
3551451278373628,Yuan Renminbi,3/31/2021,7977.24,withdrawal,PO Box 51827,31,checking,6.48,11/20/2021
3552084715936720,Yuan Renminbi,3/30/2021,492.49,transfer,Suite 37,32,checking,2.34,9/5/2021
633110650725958703,Peso,3/27/2021,8696.92,transfer,12th Floor,33,investment,9.76,9/7/2021
3547869142374182,Kuna,6/26/2021,6882.82,withdrawal,PO Box 49983,34,checking,6.9,6/20/2021
3539235412724615,Peso,3/6/2021,3691.04,transfer,Apt 731,35,investment,9.0,2/1/2021
5602215622358963,Yuan Renminbi,1/5/2021,6527.19,transfer,Room 636,36,savings,9.7,4/8/2021
3573948647735563,Peso,4/17/2021,3850.08,transfer,13th Floor,37,investment,9.28,5/25/2021
374622543281652,Shekel,1/16/2021,7872.82,deposit,12th Floor,38,checking,0.61,8/19/2021
3542218686294171,Yuan Renminbi,8/4/2021,9363.55,transfer,Suite 59,39,savings,7.8,8/27/2021
3575663364257968,Peso,12/25/2021,2799.32,deposit,Suite 94,40,savings,3.59,3/4/2021
4913512127216457,Shekel,7/5/2021,4922.55,deposit,Room 252,41,investment,7.63,4/26/2021
5007669909230330,Rupiah,5/26/2021,4910.81,deposit,16th Floor,42,checking,8.97,10/3/2021
3562430658838837,Peso,12/6/2021,2705.63,transfer,Room 785,43,savings,4.21,6/30/2021
6334010362108746636,Yuan Renminbi,7/14/2021,5901.17,withdrawal,8th Floor,44,checking,5.71,4/16/2021
3549080739410516,Euro,6/20/2021,6877.56,withdrawal,Suite 39,45,checking,1.39,10/31/2021
5048372217083423,Real,10/22/2021,5555.37,transfer,Suite 44,46,checking,5.28,2/1/2021
5518125083294131,Hryvnia,3/2/2021,3419.02,withdrawal,Suite 72,47,checking,8.97,11/8/2021
6333098793046433,Sol,2/15/2021,1819.62,deposit,Room 1388,48,savings,2.07,6/9/2021
30291832748924,Franc,12/14/2021,3542.4,withdrawal,13th Floor,49,savings,8.69,9/3/2021
3577366592550232,Dollar,10/12/2021,7536.25,withdrawal,PO Box 69615,50,savings,1.52,11/13/2021
676232113147098923,Lev,5/2/2021,5128.35,transfer,Suite 17,51,savings,2.46,8/10/2021
